"Label (Grouping)","Boston city, Massachusetts!!Total!!Estimate","Boston city, Massachusetts!!Male!!Estimate","Boston city, Massachusetts!!Female!!Estimate"
"Population 18 to 24 years","114,350","53,929","60,421"
"Less than high school graduate","7.7%","10.0%","5.6%"
"High school graduate (includes equivalency)","17.8%","19.6%","16.2%"
"Some college or associate's degree","53.8%","52.0%","55.3%"
"Bachelor's degree or higher","20.7%","18.3%","22.9%"
"Population 25 years and over","410,047","193,984","216,063"
"    Less than 9th grade","7.9%","7.3%","8.4%"
"    9th to 12th grade, no diploma","7.1%","7.5%","6.8%"
"    High school graduate (includes equivalency)","22.4%","23.1%","21.8%"
"    Some college, no degree","14.1%","13.8%","14.3%"
"    Associate's degree","4.6%","3.7%","5.4%"
"    Bachelor's degree","24.3%","25.2%","23.6%"
"    Graduate or professional degree","19.6%","19.4%","19.7%"
"Percent high school graduate or higher","85.0%","85.2%","84.8%"
"Percent bachelor's degree or higher","43.9%","44.6%","43.3%"
"Population 25 to 34 years","135,505","66,446","69,059"
"    High school graduate or higher","93.7%","93.2%","94.3%"
"    Bachelor's degree or higher","62.7%","60.2%","65.1%"
"Population 35 to 44 years","79,199","38,769","40,430"
"    High school graduate or higher","87.2%","86.1%","88.2%"
"    Bachelor's degree or higher","43.7%","44.5%","43.0%"
"Population 45 to 64 years","130,381","62,152","68,229"
"    High school graduate or higher","82.0%","82.1%","81.8%"
"    Bachelor's degree or higher","34.3%","34.3%","34.3%"
"Population 65 years and over","64,962","26,617","38,345"
"    High school graduate or higher","70.2%","71.1%","69.5%"
"    Bachelor's degree or higher","24.0%","29.6%","20.2%"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","",""
"    Less than high school graduate","32.6%","27.4%","37.1%"
"    High school graduate (includes equivalency)","20.2%","16.4%","24.0%"
"    Some college or associate's degree","16.6%","13.4%","19.1%"
"    Bachelor's degree or higher","7.6%","7.1%","8.0%"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)","","",""
"    Population 25 years and over with earnings","42,768","46,012","40,521"
"        Less than high school graduate","20,973","22,696","18,713"
"        High school graduate (includes equivalency)","29,726","32,100","26,192"
"        Some college or associate's degree","34,803","37,548","32,713"
"        Bachelor's degree","53,830","60,131","50,527"
"        Graduate or professional degree","66,518","77,942","60,423"
"PERCENT IMPUTED","","",""
"    Educational attainment","8.2%","(X)","(X)"
