"Label (Grouping)","Boston city, Suffolk County, Massachusetts!!Number!!Estimate","Boston city, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Boston city, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","",""
"    Households","276,053","276,053","89,212"
"        One race--","","",""
"            White","149,539","54.2%","120,776"
"            Black or African American","56,060","20.3%","56,673"
"            American Indian and Alaska Native","779","0.3%","64,821"
"            Asian","26,885","9.7%","69,936"
"            Native Hawaiian and Other Pacific Islander","274","0.1%","250,000+"
"            Some other race","15,965","5.8%","41,669"
"        Two or more races","26,551","9.6%","61,809"
"        Hispanic or Latino origin (of any race)","45,414","16.5%","49,496"
"        White alone, not Hispanic or Latino","139,001","50.4%","125,453"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","",""
"    15 to 24 years","17,092","6.2%","37,500"
"    25 to 44 years","122,808","44.5%","113,612"
"    45 to 64 years","83,802","30.4%","91,976"
"    65 years and over","52,351","19.0%","46,782"
"FAMILIES","","",""
"    Families","128,470","128,470","106,015"
"        With own children of householder under 18 years","50,341","39.2%","85,435"
"        With no own children of householder under 18 years","78,129","60.8%","119,831"
"        Married-couple families","78,195","60.9%","152,726"
"            With own children under 18 years","27,869","21.7%","154,363"
"        Female householder, no spouse present","38,957","30.3%","50,193"
"            With own children under 18 years","18,883","14.7%","34,001"
"        Male householder, no spouse present","11,318","8.8%","71,500"
"            With own children under 18 years","3,589","2.8%","51,487"
"FAMILY INCOME BY FAMILY SIZE","","",""
"    2-person families","62,100","48.3%","101,275"
"    3-person families","32,368","25.2%","98,556"
"    4-person families","19,632","15.3%","125,181"
"    5-person families","8,884","6.9%","112,263"
"    6-person families","3,404","2.6%","122,586"
"    7-or-more person families","2,082","1.6%","140,157"
"FAMILY INCOME BY NUMBER OF EARNERS","","",""
"    No earners","14,330","11.2%","21,722"
"    1 earner","37,185","28.9%","56,159"
"    2 earners","60,699","47.2%","149,335"
"    3 or more earners","16,256","12.7%","158,883"
"NONFAMILY HOUSEHOLDS","","",""
"    Nonfamily households","147,583","147,583","72,297"
"        Female householder","79,622","54.0%","65,267"
"            Living alone","56,906","38.6%","47,795"
"            Not living alone","22,716","15.4%","131,023"
"        Male householder","67,961","46.0%","80,301"
"            Living alone","43,947","29.8%","53,833"
"            Not living alone","24,014","16.3%","144,684"
