"Label (Grouping)","Census Tract 103, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate"
"Population for whom poverty status is determined","390","116","29.7%","2,753","979","35.6%","2,586","1,355","52.4%","1,705","905","53.1%","2,899","838","28.9%","3,168","439","13.9%","2,491","140","5.6%","2,676","278","10.4%","3,882","868","22.4%","1,966","524","26.7%","2,194","557","25.4%","3,019","1,409","46.7%","3,600","1,121","31.1%","1,877","778","41.4%","2,976","1,261","42.4%","3,571","1,356","38.0%","2,924","631","21.6%","2,763","1,028","37.2%","3,971","1,025","25.8%","3,215","940","29.2%","3,704","1,554","42.0%","3,421","1,063","31.1%","5,974","1,700","28.5%","5,026","1,390","27.7%","2,348","1,052","44.8%","3,095","1,257","40.6%","4,396","1,195","27.2%","2,716","477","17.6%","3,878","815","21.0%","2,676","504","18.8%","3,231","700","21.7%","6,388","2,334","36.5%","3,991","341","8.5%","5,196","690","13.3%","217","191","88.0%","273","41","15.0%"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 18 years","8","0","0.0%","0","0","-","65","36","55.4%","36","0","0.0%","219","16","7.3%","96","0","0.0%","364","0","0.0%","322","69","21.4%","413","22","5.3%","487","126","25.9%","496","216","43.5%","901","574","63.7%","1,057","322","30.5%","356","182","51.1%","553","341","61.7%","59","0","0.0%","400","61","15.3%","652","394","60.4%","810","205","25.3%","952","382","40.1%","979","662","67.6%","976","613","62.8%","1,301","456","35.0%","1,371","727","53.0%","756","440","58.2%","1,001","590","58.9%","1,024","445","43.5%","535","91","17.0%","355","74","20.8%","572","188","32.9%","731","175","23.9%","2,021","1,176","58.2%","650","14","2.2%","830","111","13.4%","0","0","-","105","13","12.4%"
"            Under 5 years","8","0","0.0%","0","0","-","19","19","100.0%","11","0","0.0%","97","0","0.0%","73","0","0.0%","125","0","0.0%","149","0","0.0%","240","0","0.0%","71","0","0.0%","207","78","37.7%","299","202","67.6%","452","75","16.6%","117","74","63.2%","109","29","26.6%","21","0","0.0%","51","0","0.0%","64","0","0.0%","289","112","38.8%","340","85","25.0%","291","229","78.7%","134","120","89.6%","326","116","35.6%","277","82","29.6%","219","149","68.0%","187","105","56.1%","180","97","53.9%","109","21","19.3%","93","0","0.0%","155","68","43.9%","184","81","44.0%","752","481","64.0%","379","0","0.0%","357","0","0.0%","0","0","-","27","0","0.0%"
"            5 to 17 years","0","0","-","0","0","-","46","17","37.0%","25","0","0.0%","122","16","13.1%","23","0","0.0%","239","0","0.0%","173","69","39.9%","173","22","12.7%","416","126","30.3%","289","138","47.8%","602","372","61.8%","605","247","40.8%","239","108","45.2%","444","312","70.3%","38","0","0.0%","349","61","17.5%","588","394","67.0%","521","93","17.9%","612","297","48.5%","688","433","62.9%","842","493","58.6%","975","340","34.9%","1,094","645","59.0%","537","291","54.2%","814","485","59.6%","844","348","41.2%","426","70","16.4%","262","74","28.2%","417","120","28.8%","547","94","17.2%","1,269","695","54.8%","271","14","5.2%","473","111","23.5%","0","0","-","78","13","16.7%"
"            Related children of householder under 18 years","8","0","0.0%","0","0","-","65","36","55.4%","36","0","0.0%","219","16","7.3%","96","0","0.0%","364","0","0.0%","322","69","21.4%","413","22","5.3%","487","126","25.9%","496","216","43.5%","900","573","63.7%","1,057","322","30.5%","356","182","51.1%","553","341","61.7%","59","0","0.0%","400","61","15.3%","652","394","60.4%","795","190","23.9%","915","345","37.7%","979","662","67.6%","962","599","62.3%","1,301","456","35.0%","1,335","709","53.1%","756","440","58.2%","1,001","590","58.9%","1,024","445","43.5%","535","91","17.0%","345","64","18.6%","572","188","32.9%","731","175","23.9%","1,999","1,154","57.7%","650","14","2.2%","816","97","11.9%","0","0","-","92","0","0.0%"
"        18 to 64 years","348","105","30.2%","2,335","863","37.0%","2,403","1,245","51.8%","1,272","726","57.1%","2,289","647","28.3%","2,422","376","15.5%","1,829","132","7.2%","1,957","150","7.7%","3,105","675","21.7%","1,255","341","27.2%","1,563","283","18.1%","1,680","644","38.3%","2,247","699","31.1%","1,282","465","36.3%","2,224","828","37.2%","3,210","1,297","40.4%","2,242","483","21.5%","1,859","584","31.4%","2,614","633","24.2%","1,883","405","21.5%","2,278","742","32.6%","1,936","377","19.5%","3,771","720","19.1%","3,129","592","18.9%","1,361","518","38.1%","1,773","629","35.5%","2,974","620","20.8%","1,974","324","16.4%","2,988","533","17.8%","1,829","285","15.6%","2,149","442","20.6%","3,577","1,029","28.8%","3,019","242","8.0%","3,990","491","12.3%","203","177","87.2%","134","28","20.9%"
"            18 to 34 years","254","89","35.0%","1,458","756","51.9%","1,959","1,169","59.7%","943","599","63.5%","1,688","604","35.8%","1,258","236","18.8%","830","56","6.7%","789","78","9.9%","1,377","258","18.7%","596","173","29.0%","897","123","13.7%","706","328","46.5%","1,114","330","29.6%","580","256","44.1%","1,051","408","38.8%","2,733","1,242","45.4%","1,121","316","28.2%","967","351","36.3%","1,233","313","25.4%","658","151","22.9%","770","253","32.9%","725","140","19.3%","1,928","287","14.9%","1,334","230","17.2%","658","249","37.8%","712","264","37.1%","1,293","237","18.3%","929","146","15.7%","1,673","237","14.2%","876","138","15.8%","869","183","21.1%","1,667","488","29.3%","1,593","148","9.3%","1,919","249","13.0%","39","33","84.6%","28","16","57.1%"
"            35 to 64 years","94","16","17.0%","877","107","12.2%","444","76","17.1%","329","127","38.6%","601","43","7.2%","1,164","140","12.0%","999","76","7.6%","1,168","72","6.2%","1,728","417","24.1%","659","168","25.5%","666","160","24.0%","974","316","32.4%","1,133","369","32.6%","702","209","29.8%","1,173","420","35.8%","477","55","11.5%","1,121","167","14.9%","892","233","26.1%","1,381","320","23.2%","1,225","254","20.7%","1,508","489","32.4%","1,211","237","19.6%","1,843","433","23.5%","1,795","362","20.2%","703","269","38.3%","1,061","365","34.4%","1,681","383","22.8%","1,045","178","17.0%","1,315","296","22.5%","953","147","15.4%","1,280","259","20.2%","1,910","541","28.3%","1,426","94","6.6%","2,071","242","11.7%","164","144","87.8%","106","12","11.3%"
"        60 years and over","63","27","42.9%","516","116","22.5%","183","74","40.4%","454","214","47.1%","477","194","40.7%","814","72","8.8%","414","16","3.9%","577","59","10.2%","641","272","42.4%","296","57","19.3%","324","145","44.8%","615","259","42.1%","370","112","30.3%","376","162","43.1%","545","197","36.1%","376","59","15.7%","490","132","26.9%","458","104","22.7%","704","250","35.5%","524","207","39.5%","641","200","31.2%","555","73","13.2%","1,297","540","41.6%","775","145","18.7%","319","149","46.7%","467","95","20.3%","524","172","32.8%","376","100","26.6%","775","305","39.4%","446","60","13.5%","507","132","26.0%","1,028","151","14.7%","439","85","19.4%","715","166","23.2%","29","29","100.0%","50","0","0.0%"
"        65 years and over","34","11","32.4%","418","116","27.8%","118","74","62.7%","397","179","45.1%","391","175","44.8%","650","63","9.7%","298","8","2.7%","397","59","14.9%","364","171","47.0%","224","57","25.4%","135","58","43.0%","438","191","43.6%","296","100","33.8%","239","131","54.8%","199","92","46.2%","302","59","19.5%","282","87","30.9%","252","50","19.8%","547","187","34.2%","380","153","40.3%","447","150","33.6%","509","73","14.3%","902","524","58.1%","526","71","13.5%","231","94","40.7%","321","38","11.8%","398","130","32.7%","207","62","30.0%","535","208","38.9%","275","31","11.3%","351","83","23.6%","790","129","16.3%","322","85","26.4%","376","88","23.4%","14","14","100.0%","34","0","0.0%"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","223","61","27.4%","1,394","428","30.7%","1,015","454","44.7%","816","326","40.0%","1,479","491","33.2%","1,299","123","9.5%","1,122","58","5.2%","1,217","53","4.4%","1,996","292","14.6%","898","254","28.3%","930","236","25.4%","1,603","697","43.5%","1,678","534","31.8%","854","383","44.8%","1,473","628","42.6%","2,100","812","38.7%","1,446","330","22.8%","1,075","326","30.3%","1,641","565","34.4%","1,439","472","32.8%","1,642","726","44.2%","1,564","439","28.1%","2,659","875","32.9%","2,522","527","20.9%","1,169","521","44.6%","1,474","548","37.2%","2,013","520","25.8%","1,514","203","13.4%","2,097","344","16.4%","1,318","242","18.4%","1,623","363","22.4%","2,710","706","26.1%","2,124","172","8.1%","2,443","300","12.3%","201","175","87.1%","118","13","11.0%"
"        Female","167","55","32.9%","1,359","551","40.5%","1,571","901","57.4%","889","579","65.1%","1,420","347","24.4%","1,869","316","16.9%","1,369","82","6.0%","1,459","225","15.4%","1,886","576","30.5%","1,068","270","25.3%","1,264","321","25.4%","1,416","712","50.3%","1,922","587","30.5%","1,023","395","38.6%","1,503","633","42.1%","1,471","544","37.0%","1,478","301","20.4%","1,688","702","41.6%","2,330","460","19.7%","1,776","468","26.4%","2,062","828","40.2%","1,857","624","33.6%","3,315","825","24.9%","2,504","863","34.5%","1,179","531","45.0%","1,621","709","43.7%","2,383","675","28.3%","1,202","274","22.8%","1,781","471","26.4%","1,358","262","19.3%","1,608","337","21.0%","3,678","1,628","44.3%","1,867","169","9.1%","2,753","390","14.2%","16","16","100.0%","155","28","18.1%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White alone","246","43","17.5%","1,600","409","25.6%","1,328","555","41.8%","784","386","49.2%","2,041","519","25.4%","2,176","191","8.8%","2,074","76","3.7%","1,748","155","8.9%","2,110","270","12.8%","316","95","30.1%","267","25","9.4%","588","314","53.4%","501","167","33.3%","278","97","34.9%","608","164","27.0%","2,327","812","34.9%","1,267","241","19.0%","429","84","19.6%","228","94","41.2%","220","56","25.5%","552","209","37.9%","492","207","42.1%","696","355","51.0%","367","105","28.6%","289","219","75.8%","474","63","13.3%","297","75","25.3%","275","78","28.4%","2,967","532","17.9%","419","46","11.0%","446","131","29.4%","751","418","55.7%","2,477","149","6.0%","2,700","362","13.4%","150","144","96.0%","131","3","2.3%"
"        Black or African American alone","31","21","67.7%","325","195","60.0%","59","17","28.8%","454","247","54.4%","267","45","16.9%","336","75","22.3%","122","1","0.8%","500","57","11.4%","510","147","28.8%","1,074","268","25.0%","1,561","405","25.9%","1,455","747","51.3%","1,678","578","34.4%","980","398","40.6%","1,251","513","41.0%","211","24","11.4%","1,282","291","22.7%","1,557","694","44.6%","2,660","735","27.6%","1,925","328","17.0%","2,522","979","38.8%","2,324","505","21.7%","3,492","658","18.8%","3,308","886","26.8%","1,475","330","22.4%","1,987","1,014","51.0%","3,087","962","31.2%","1,835","233","12.7%","325","120","36.9%","1,804","347","19.2%","1,633","249","15.2%","4,749","1,351","28.4%","712","17","2.4%","900","189","21.0%","32","12","37.5%","142","38","26.8%"
