"Label (Grouping)","Boston city, Suffolk County, Massachusetts!!Total!!Estimate","Boston city, Suffolk County, Massachusetts!!Total!!Margin of Error","Boston city, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Boston city, Suffolk County, Massachusetts!!Below poverty level!!Margin of Error","Boston city, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Boston city, Suffolk County, Massachusetts!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","651,689","±5,184","111,442","±8,138","17.1%","±1.2"
"    AGE","","","","","",""
"        Under 18 years","104,108","±3,210","25,043","±4,676","24.1%","±4.4"
"            Under 5 years","31,264","±2,040","5,210","±1,759","16.7%","±5.5"
"            5 to 17 years","72,844","±2,636","19,833","±3,973","27.2%","±5.3"
"            Related children of householder under 18 years","103,542","±3,257","24,477","±4,656","23.6%","±4.4"
"        18 to 64 years","466,248","±4,976","67,976","±5,377","14.6%","±1.1"
"            18 to 34 years","234,890","±4,124","38,705","±4,202","16.5%","±1.8"
"            35 to 64 years","231,358","±2,966","29,271","±3,034","12.7%","±1.3"
"        60 years and over","114,446","±3,799","23,490","±2,605","20.5%","±2.2"
"        65 years and over","81,333","±2,497","18,423","±2,265","22.7%","±2.7"
"    SEX","","","","","",""
"        Male","312,864","±3,485","49,374","±4,609","15.8%","±1.4"
"        Female","338,825","±4,356","62,068","±5,140","18.3%","±1.5"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"        White alone","340,743","±8,302","41,819","±4,533","12.3%","±1.3"
"        Black or African American alone","168,627","±4,751","33,187","±5,090","19.7%","±3.0"
"        American Indian and Alaska Native alone","N","N","N","N","N","N"
"        Asian alone","61,205","±2,722","17,914","±3,124","29.3%","±4.8"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N"
"        Some other race alone","37,081","±5,539","9,883","±3,525","26.7%","±7.6"
"        Two or more races","41,816","±6,683","8,146","±2,660","19.5%","±6.1"
"        Hispanic or Latino origin (of any race)","132,134","±5,861","33,421","±4,993","25.3%","±3.6"
"        White alone, not Hispanic or Latino","286,252","±5,395","27,915","±3,168","9.8%","±1.1"
"    EDUCATIONAL ATTAINMENT","","","","","",""
"        Population 25 years and over","480,527","±3,614","64,854","±5,177","13.5%","±1.1"
"            Less than high school graduate","53,865","±4,413","17,175","±2,659","31.9%","±4.1"
"            High school graduate (includes equivalency)","91,205","±5,684","19,115","±2,893","21.0%","±3.0"
"            Some college, associate's degree","85,360","±4,984","11,999","±2,289","14.1%","±2.8"
"            Bachelor's degree or higher","250,097","±5,718","16,565","±2,710","6.6%","±1.1"
"    EMPLOYMENT STATUS","","","","","",""
"        Civilian labor force 16 years and over","407,088","±7,029","30,819","±4,071","7.6%","±1.0"
"            Employed","390,633","±7,154","25,315","±3,561","6.5%","±0.9"
"                Male","192,022","±4,002","9,889","±2,225","5.1%","±1.1"
"                Female","198,611","±4,978","15,426","±2,460","7.8%","±1.2"
"            Unemployed","16,455","±2,731","5,504","±1,549","33.4%","±7.0"
"                Male","9,940","±2,062","3,245","±1,272","32.6%","±9.9"
"                Female","6,515","±1,531","2,259","±821","34.7%","±10.0"
"    WORK EXPERIENCE","","","","","",""
"        Population 16 years and over","558,657","±5,625","89,928","±6,239","16.1%","±1.1"
"            Worked full-time, year-round in the past 12 months","289,223","±7,369","4,708","±1,363","1.6%","±0.5"
"            Worked part-time or part-year in the past 12 months","130,347","±7,622","27,510","±3,502","21.1%","±2.3"
"            Did not work","139,087","±5,933","57,710","±4,761","41.5%","±2.6"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","",""
"        50 percent of poverty level","55,701","±5,962","(X)","(X)","(X)","(X)"
"        125 percent of poverty level","132,805","±9,598","(X)","(X)","(X)","(X)"
"        150 percent of poverty level","153,383","±10,273","(X)","(X)","(X)","(X)"
"        185 percent of poverty level","184,035","±10,654","(X)","(X)","(X)","(X)"
"        200 percent of poverty level","196,866","±10,908","(X)","(X)","(X)","(X)"
"        300 percent of poverty level","263,178","±11,545","(X)","(X)","(X)","(X)"
"        400 percent of poverty level","336,059","±12,097","(X)","(X)","(X)","(X)"
"        500 percent of poverty level","398,446","±12,553","(X)","(X)","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","246,921","±8,500","60,326","±5,649","24.4%","±1.9"
"    Male","121,941","±5,023","28,662","±3,367","23.5%","±2.5"
"    Female","124,980","±5,400","31,664","±3,384","25.3%","±2.2"
"    15 years","384","±354","384","±354","100.0%","±36.7"
"    16 to 17 years","109","±181","109","±181","100.0%","±69.1"
"    18 to 24 years","36,906","±3,412","17,449","±2,862","47.3%","±6.0"
"    25 to 34 years","96,776","±4,318","11,268","±2,031","11.6%","±2.0"
"    35 to 44 years","29,608","±3,159","2,941","±1,060","9.9%","±3.4"
"    45 to 54 years","24,612","±2,884","7,340","±1,809","29.8%","±6.5"
"    55 to 64 years","23,221","±2,550","8,106","±1,644","34.9%","±5.6"
"    65 to 74 years","18,097","±1,892","6,226","±1,166","34.4%","±5.4"
"    75 years and over","17,208","±2,056","6,503","±1,325","37.8%","±6.1"
"    Mean income deficit for unrelated individuals (dollars)","7,779","±345","(X)","(X)","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","135,176","±6,339","2,404","±1,007","1.8%","±0.7"
"    Worked less than full-time, year-round in the past 12 months","51,638","±4,727","18,076","±2,793","35.0%","±4.1"
"    Did not work","60,107","±5,366","39,846","±4,441","66.3%","±3.3"
